time,EAR
18:52:821249,0
18:52:821249,0
18:52:821249,0
18:52:821249,0
18:52:821249,0
18:52:821249,0
18:52:821249,0
18:52:821249,0
18:52:821249,0
18:52:821249,0
18:55:104182,0
18:55:104182,0
18:55:104182,1
18:55:104182,1
18:55:104182,1
18:55:104182,1
18:55:104182,1
18:55:104182,0
18:55:104182,0
18:55:104182,0
18:57:320858,0
18:57:320858,0
18:57:320858,0
18:57:320858,0
18:57:320858,0
18:57:320858,0
18:57:320858,0
18:57:320858,0
18:57:320858,0
18:57:320858,0
18:59:482738,0
18:59:482738,0
18:59:482738,0
18:59:482738,0
18:59:482738,0
18:59:482738,0
18:59:482738,0
18:59:482738,0
18:59:482738,0
18:59:482738,0
19:03:526838,0
19:03:526838,0
19:03:526838,0
19:03:526838,0
19:03:526838,0
19:03:526838,0
19:03:526838,0
19:03:526838,0
19:03:526838,0
19:03:526838,0
19:05:919284,0
19:05:919284,0
19:05:919284,0
19:05:919284,0
19:05:919284,0
19:05:919284,0
19:05:919284,0
19:05:919284,0
19:05:919284,0
19:05:919284,0
19:08:216019,0
19:08:216019,0
19:08:216019,0
19:08:216019,0
19:08:216019,0
19:08:216019,0
19:08:216019,0
19:08:216019,0
19:08:216019,0
19:08:216019,0
19:10:777583,0
19:10:777583,0
19:10:777583,0
19:10:777583,0
19:10:777583,0
19:10:777583,0
19:10:777583,0
19:10:777583,0
19:10:777583,0
19:10:777583,0
19:12:942637,0
19:12:942637,0
19:12:942637,0
19:12:942637,0
19:12:942637,0
19:12:942637,0
19:12:942637,0
19:12:942637,1
19:12:942637,1
19:12:942637,1
19:15:059994,1
19:15:059994,1
19:15:059994,1
19:15:059994,1
19:15:059994,1
19:15:059994,1
19:15:059994,1
19:15:059994,1
19:15:059994,1
19:15:059994,1
19:18:128947,1
19:18:128947,1
19:18:128947,1
19:18:128947,1
19:18:128947,1
19:18:128947,1
19:18:128947,1
19:18:128947,1
19:18:128947,1
19:18:128947,1
19:20:373053,1
19:20:373053,1
19:20:373053,1
19:20:373053,1
19:20:373053,1
19:20:373053,1
19:20:373053,1
19:20:373053,1
19:20:373053,1
19:20:373053,1
19:22:668526,1
19:22:668526,1
19:22:668526,1
19:22:668526,1
19:22:668526,1
19:22:668526,1
19:22:668526,1
19:22:668526,1
19:22:668526,1
19:22:668526,1
19:26:792964,1
19:26:792964,1
19:26:792964,1
19:26:792964,1
19:26:792964,1
19:26:792964,1
19:26:792964,1
19:26:792964,1
19:26:792964,1
19:26:792964,1
19:28:887593,1
19:28:887593,1
19:28:887593,1
19:28:887593,1
19:28:887593,1
19:28:887593,1
19:28:887593,1
19:28:887593,1
19:28:887593,1
19:28:887593,1
19:31:008076,1
19:31:008076,1
19:31:008076,1
19:31:008076,1
19:31:008076,1
19:31:008076,1
19:31:008076,1
19:31:008076,1
19:31:008076,1
19:31:008076,1
19:33:159247,1
19:33:159247,1
19:33:159247,1
19:33:159247,1
19:33:159247,1
19:33:159247,1
19:33:159247,1
19:33:159247,1
19:33:159247,1
19:33:159247,1
19:35:341097,0
19:35:341097,0
19:35:341097,0
19:35:341097,0
19:35:341097,0
19:35:341097,0
19:35:341097,0
19:35:341097,0
19:35:341097,0
19:35:341097,0
19:39:209355,0
19:39:209355,0
19:39:209355,0
19:39:209355,0
19:39:209355,0
19:39:209355,0
19:39:209355,0
19:39:209355,0
19:39:209355,0
19:39:209355,0
19:41:460095,0
19:41:460095,0
19:41:460095,0
19:41:460095,0
19:41:460095,0
19:41:460095,0
19:41:460095,0
19:41:460095,0
19:41:460095,0
19:41:460095,0
19:43:590248,0
19:43:590248,0
19:43:590248,0
19:43:590248,0
19:43:590248,0
19:43:590248,0
19:43:590248,0
19:43:590248,0
19:43:590248,0
19:43:590248,0
19:45:688339,0
19:45:688339,0
19:45:688339,0
19:45:688339,0
19:45:688339,0
19:45:688339,0
19:45:688339,0
19:45:688339,0
19:45:688339,0
19:45:688339,0
19:47:901203,0
19:47:901203,0
19:47:901203,0
19:47:901203,0
19:47:901203,0
19:47:901203,0
19:47:901203,0
19:47:901203,0
19:47:901203,0
19:47:901203,0
19:52:803400,0
19:52:803400,0
19:52:803400,0
19:52:803400,0
19:52:803400,0
19:52:803400,0
19:52:803400,0
19:52:803400,0
19:52:803400,0
19:52:803400,0
19:54:909126,0
19:54:909126,0
19:54:909126,0
19:54:909126,0
19:54:909126,0
19:54:909126,0
19:54:909126,0
19:54:909126,0
19:54:909126,0
19:54:909126,0
19:57:023941,0
19:57:023941,0
19:57:023941,0
19:57:023941,0
19:57:023941,0
19:57:023941,0
19:57:023941,0
19:57:023941,0
19:57:023941,0
19:57:023941,0
19:59:150646,0
19:59:150646,0
19:59:150646,0
19:59:150646,0
19:59:150646,0
19:59:150646,0
19:59:150646,0
19:59:150646,0
19:59:150646,0
20:09:198804,0
20:09:198804,0
20:09:198804,0
20:09:198804,0
20:09:198804,0
20:11:274052,0
20:11:274052,0
20:11:274052,0
20:11:274052,0
20:11:274052,0
20:11:274052,0
20:11:274052,0
20:11:274052,0
20:11:274052,0
20:11:274052,0
20:13:419398,0
20:13:419398,0
20:13:419398,0
20:13:419398,0
20:13:419398,0
20:13:419398,0
20:13:419398,0
20:13:419398,0
20:13:419398,0
20:13:419398,0
20:15:516867,0
20:15:516867,0
20:15:516867,0
20:15:516867,0
20:15:516867,0
20:15:516867,0
20:15:516867,0
20:15:516867,0
20:15:516867,0
20:15:516867,0
20:17:639912,0
20:17:639912,0
20:17:639912,0
20:17:639912,0
20:17:639912,0
20:17:639912,0
20:17:639912,0
20:17:639912,0
20:17:639912,0
20:17:639912,0
20:19:744397,1
20:19:744397,1
20:19:744397,1
20:19:744397,1
20:19:744397,1
20:19:744397,1
20:19:744397,1
20:19:744397,1
20:19:744397,1
20:19:744397,0
20:21:838741,0
20:21:838741,1
20:21:838741,1
20:21:838741,1
20:21:838741,1
20:21:838741,1
20:21:838741,1
20:21:838741,1
20:21:838741,1
20:21:838741,1
20:23:975247,1
20:23:975247,1
20:23:975247,1
20:23:975247,1
20:23:975247,1
20:23:975247,1
20:23:975247,1
20:23:975247,1
20:23:975247,1
20:23:975247,1
20:26:045209,1
20:26:045209,1
20:26:045209,1
20:26:045209,1
20:26:045209,1
20:26:045209,1
20:26:045209,1
20:26:045209,1
20:26:045209,1
20:26:045209,1
20:28:169055,1
20:28:169055,1
20:28:169055,1
20:28:169055,1
20:28:169055,1
20:28:169055,1
20:28:169055,1
20:28:169055,1
20:28:169055,1
20:28:169055,1
20:30:290853,1
20:30:290853,1
20:30:290853,1
20:30:290853,1
20:30:290853,1
20:30:290853,1
20:30:290853,1
20:30:290853,1
20:30:290853,1
20:30:290853,1
20:32:419034,1
20:32:419034,1
20:32:419034,1
20:32:419034,1
20:32:419034,1
20:32:419034,1
20:32:419034,1
20:32:419034,1
20:32:419034,1
20:32:419034,1
20:34:557850,1
20:34:557850,1
20:34:557850,0
20:34:557850,0
20:34:557850,0
20:34:557850,0
20:34:557850,0
20:34:557850,0
20:34:557850,0
20:34:557850,0
20:36:648820,0
20:36:648820,0
20:36:648820,0
20:36:648820,0
20:36:648820,0
20:36:648820,0
20:36:648820,0
20:36:648820,0
20:36:648820,0
20:36:648820,0
20:38:786114,0
20:38:786114,0
20:38:786114,0
20:38:786114,0
20:38:786114,0
20:38:786114,0
20:38:786114,0
20:38:786114,0
20:38:786114,0
20:38:786114,0
20:40:959469,0
20:40:959469,0
20:40:959469,0
20:40:959469,0
20:40:959469,0
20:40:959469,0
20:40:959469,0
20:40:959469,0
20:40:959469,0
20:40:959469,0
20:43:073277,0
20:43:073277,0
20:43:073277,0
20:43:073277,0
20:43:073277,0
20:43:073277,0
20:43:073277,0
20:43:073277,0
20:43:073277,0
20:43:073277,0
20:45:139688,0
20:45:139688,0
20:45:139688,0
20:45:139688,0
20:45:139688,0
20:45:139688,0
20:45:139688,0
20:45:139688,0
20:45:139688,0
20:45:139688,0
20:47:251798,0
20:47:251798,0
20:47:251798,0
20:47:251798,0
20:47:251798,0
20:47:251798,0
20:47:251798,0
20:47:251798,0
20:47:251798,0
20:47:251798,0
20:49:340614,0
20:49:340614,0
20:49:340614,0
20:49:340614,0
20:49:340614,0
20:49:340614,0
20:49:340614,0
20:49:340614,0
20:49:340614,0
20:49:340614,0
20:51:463346,0
20:51:463346,0
20:51:463346,0
20:51:463346,0
20:51:463346,0
20:51:463346,0
20:51:463346,0
20:51:463346,0
20:51:463346,0
20:51:463346,0
20:53:562871,0
20:53:562871,0
20:53:562871,0
20:53:562871,0
20:53:562871,0
20:53:562871,0
20:59:525530,0
20:59:525530,0
20:59:525530,0
21:01:601803,0
21:01:601803,0
21:01:601803,0
21:01:601803,0
21:01:601803,0
21:01:601803,0
21:03:692305,0
21:03:692305,0
21:03:692305,0
21:03:692305,0
21:03:692305,0
21:03:692305,0
21:03:692305,0
21:03:692305,0
21:03:692305,0
21:03:692305,0
21:05:778292,0
21:05:778292,0
21:05:778292,0
21:05:778292,0
21:05:778292,0
21:05:778292,0
21:05:778292,0
21:05:778292,0
21:05:778292,0
21:05:778292,0
21:07:884361,0
21:07:884361,0
21:07:884361,0
21:07:884361,0
21:07:884361,0
21:07:884361,0
21:07:884361,0
21:07:884361,0
21:07:884361,0
21:07:884361,0
21:09:956886,0
21:09:956886,0
21:09:956886,0
21:09:956886,0
21:09:956886,0
21:09:956886,0
21:09:956886,0
21:09:956886,0
21:09:956886,0
21:12:052904,0
21:12:052904,0
21:12:052904,0
21:12:052904,0
21:12:052904,0
21:12:052904,0
21:12:052904,0
21:12:052904,0
21:12:052904,0
21:12:052904,0
21:14:150742,0
21:14:150742,0
21:14:150742,0
21:14:150742,0
21:14:150742,0
21:14:150742,0
21:14:150742,0
21:14:150742,0
21:14:150742,0
21:14:150742,0
21:16:259601,0
21:16:259601,0
21:16:259601,0
21:16:259601,0
21:16:259601,0
21:16:259601,0
21:16:259601,0
21:16:259601,0
21:16:259601,0
21:16:259601,0
21:18:357453,0
21:18:357453,0
21:18:357453,0
21:18:357453,0
21:18:357453,0
21:18:357453,0
21:18:357453,0
21:18:357453,0
21:18:357453,0
21:18:357453,0
21:20:534081,0
21:20:534081,0
21:20:534081,0
21:20:534081,0
21:20:534081,0
21:20:534081,1
21:20:534081,1
21:20:534081,1
21:20:534081,1
21:20:534081,1
21:22:673090,1
21:22:673090,1
21:22:673090,1
21:22:673090,1
21:22:673090,1
21:22:673090,1
21:22:673090,1
21:22:673090,1
21:22:673090,1
21:22:673090,1
21:24:793818,1
21:24:793818,1
21:24:793818,1
21:24:793818,1
21:24:793818,1
21:24:793818,1
21:24:793818,1
21:24:793818,1
21:24:793818,1
21:24:793818,1
21:26:933636,1
21:26:933636,1
21:26:933636,1
21:26:933636,1
21:26:933636,1
21:26:933636,1
21:26:933636,1
21:26:933636,1
21:26:933636,1
21:26:933636,1
21:29:036380,1
21:29:036380,1
21:29:036380,1
21:29:036380,1
21:29:036380,1
21:29:036380,1
21:29:036380,1
21:29:036380,1
21:29:036380,1
21:29:036380,1
21:31:173357,1
21:31:173357,1
21:31:173357,1
21:31:173357,1
21:31:173357,1
21:31:173357,1
21:31:173357,1
21:31:173357,1
21:31:173357,1
21:31:173357,1
21:33:259109,1
21:33:259109,1
21:33:259109,0
21:33:259109,0
21:33:259109,0
21:33:259109,0
21:33:259109,0
21:33:259109,0
21:33:259109,0
21:33:259109,0
21:35:408966,0
21:35:408966,0
21:35:408966,0
21:35:408966,0
21:35:408966,0
21:35:408966,0
21:35:408966,0
21:35:408966,0
21:35:408966,0
21:35:408966,0
21:37:547495,0
21:37:547495,0
21:37:547495,0
21:37:547495,0
21:37:547495,0
21:37:547495,0
21:37:547495,0
21:37:547495,0
21:37:547495,0
21:37:547495,0
21:39:618217,0
21:39:618217,0
21:39:618217,0
21:39:618217,0
21:39:618217,0
21:39:618217,0
21:39:618217,0
21:39:618217,0
21:39:618217,0
21:39:618217,0
21:41:743232,0
21:41:743232,0
21:41:743232,0
21:41:743232,0
21:41:743232,0
21:41:743232,1
21:41:743232,1
21:41:743232,1
21:41:743232,1
21:41:743232,1
21:43:868400,1
21:43:868400,1
21:43:868400,1
21:43:868400,1
21:43:868400,1
21:43:868400,1
21:43:868400,1
21:43:868400,1
21:43:868400,1
21:43:868400,1
21:45:959123,1
21:45:959123,1
21:45:959123,1
21:45:959123,1
21:45:959123,1
21:45:959123,1
21:45:959123,1
21:45:959123,1
21:45:959123,1
21:45:959123,1
21:48:082244,1
21:48:082244,1
21:48:082244,1
21:48:082244,1
21:48:082244,1
21:48:082244,1
21:48:082244,1
21:48:082244,1
21:48:082244,1
21:48:082244,1
21:50:223400,1
21:50:223400,1
21:50:223400,1
21:50:223400,1
21:50:223400,1
21:50:223400,1
21:50:223400,1
21:50:223400,1
21:50:223400,1
21:50:223400,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:52:335041,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:54:404054,1
21:56:479269,1
21:56:479269,1
21:56:479269,1
21:56:479269,1
21:56:479269,0
21:56:479269,0
21:56:479269,0
21:56:479269,0
21:56:479269,0
21:56:479269,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
21:58:619485,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:00:719149,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:02:811650,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:04:915801,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:06:982992,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:09:083291,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
22:11:178394,0
